number, train, type, conductor1, conductor2
1, 987, COMPARTMENT, conductor1.1.987@gmail.com, conductor2.1.987@gmail.com
2, 987, COMPARTMENT, conductor1.2.987@gmail.com, conductor2.2.987@gmail.com
3, 987, COMPARTMENT, conductor1.3.987@gmail.com, conductor2.3.987@gmail.com
4, 987, COMPARTMENT, conductor1.4.987@gmail.com, conductor2.4.987@gmail.com
5, 987, COMPARTMENT, conductor1.5.987@gmail.com, conductor2.5.987@gmail.com
1, 654, ECONOM, conductor1.1.654@gmail.com, conductor2.1.654@gmail.com
2, 654, ECONOM, conductor1.2.654@gmail.com, conductor2.2.654@gmail.com
3, 654, ECONOM, conductor1.3.654@gmail.com, conductor2.3.654@gmail.com
4, 654, ECONOM, conductor1.4.654@gmail.com, conductor2.4.654@gmail.com
5, 654, ECONOM, conductor1.5.654@gmail.com, conductor2.5.654@gmail.com
1, 321, COMPARTMENT, conductor1.1.321@gmail.com, conductor2.1.321@gmail.com
2, 321, COMPARTMENT, conductor1.2.321@gmail.com, conductor2.2.321@gmail.com
3, 321, COMPARTMENT, conductor1.3.321@gmail.com, conductor2.3.321@gmail.com
1, 741, SITTING, conductor1.1.741@gmail.com, conductor2.1.741@gmail.com
2, 741, SITTING, conductor1.2.741@gmail.com, conductor2.2.741@gmail.com
3, 741, SITTING, conductor1.3.741@gmail.com, conductor2.3.741@gmail.com
4, 741, SITTING, conductor1.4.741@gmail.com, conductor2.4.741@gmail.com
1, 852, SV, conductor1.1.852@gmail.com, conductor2.1.852@gmail.com
2, 852, SV, conductor1.2.852@gmail.com, conductor2.2.852@gmail.com
3, 852, COMPARTMENT, conductor1.3.852@gmail.com, conductor2.3.852@gmail.com
4, 852, COMPARTMENT, conductor1.4.852@gmail.com, conductor2.4.852@gmail.com
5, 852, COMPARTMENT, conductor1.5.852@gmail.com, conductor2.5.852@gmail.com
